rank,rank_name,grade_type,level,point
1,委任第一職等,本俸,1,160
1,委任第一職等,本俸,2,170
1,委任第一職等,本俸,3,180
1,委任第一職等,本俸,4,190
1,委任第一職等,本俸,5,200
1,委任第一職等,本俸,6,210
1,委任第一職等,本俸,7,220
1,委任第一職等,年功俸,1,230
1,委任第一職等,年功俸,2,240
1,委任第一職等,年功俸,3,250
1,委任第一職等,年功俸,4,260
1,委任第一職等,年功俸,5,270
1,委任第一職等,年功俸,6,280
2,委任第二職等,本俸,1,230
2,委任第二職等,本俸,2,240
2,委任第二職等,本俸,3,250
2,委任第二職等,本俸,4,260
2,委任第二職等,本俸,5,270
2,委任第二職等,年功俸,1,280
2,委任第二職等,年功俸,2,290
2,委任第二職等,年功俸,3,300
2,委任第二職等,年功俸,4,310
2,委任第二職等,年功俸,5,320
2,委任第二職等,年功俸,6,330
3,委任第三職等,本俸,1,280
3,委任第三職等,本俸,2,290
3,委任第三職等,本俸,3,300
3,委任第三職等,本俸,4,310
3,委任第三職等,本俸,5,320
3,委任第三職等,年功俸,1,330
3,委任第三職等,年功俸,2,340
3,委任第三職等,年功俸,3,350
3,委任第三職等,年功俸,4,360
3,委任第三職等,年功俸,5,370
3,委任第三職等,年功俸,6,385
3,委任第三職等,年功俸,7,400
3,委任第三職等,年功俸,8,415
4,委任第四職等,本俸,1,300
4,委任第四職等,本俸,2,310
4,委任第四職等,本俸,3,320
4,委任第四職等,本俸,4,330
4,委任第四職等,本俸,5,340
4,委任第四職等,年功俸,1,350
4,委任第四職等,年功俸,2,360
4,委任第四職等,年功俸,3,370
4,委任第四職等,年功俸,4,385
4,委任第四職等,年功俸,5,400
4,委任第四職等,年功俸,6,415
4,委任第四職等,年功俸,7,430
4,委任第四職等,年功俸,8,445
5,委任第五職等,本俸,1,330
5,委任第五職等,本俸,2,340
5,委任第五職等,本俸,3,350
5,委任第五職等,本俸,4,360
5,委任第五職等,本俸,5,370
5,委任第五職等,年功俸,1,385
5,委任第五職等,年功俸,2,400
5,委任第五職等,年功俸,3,415
5,委任第五職等,年功俸,4,430
5,委任第五職等,年功俸,5,445
5,委任第五職等,年功俸,6,460
5,委任第五職等,年功俸,7,475
5,委任第五職等,年功俸,8,490
5,委任第五職等,年功俸,9,505
5,委任第五職等,年功俸,10,520
6,薦任第六職等,本俸,1,385
6,薦任第六職等,本俸,2,400
6,薦任第六職等,本俸,3,415
6,薦任第六職等,本俸,4,430
6,薦任第六職等,本俸,5,445
6,薦任第六職等,年功俸,1,460
6,薦任第六職等,年功俸,2,475
6,薦任第六職等,年功俸,3,490
6,薦任第六職等,年功俸,4,505
6,薦任第六職等,年功俸,5,520
6,薦任第六職等,年功俸,6,535
7,薦任第七職等,本俸,1,415
7,薦任第七職等,本俸,2,430
7,薦任第七職等,本俸,3,445
7,薦任第七職等,本俸,4,460
7,薦任第七職等,本俸,5,475
7,薦任第七職等,年功俸,1,490
7,薦任第七職等,年功俸,2,505
7,薦任第七職等,年功俸,3,520
7,薦任第七職等,年功俸,4,535
7,薦任第七職等,年功俸,5,550
7,薦任第七職等,年功俸,6,590
8,薦任第八職等,本俸,1,445
8,薦任第八職等,本俸,2,460
8,薦任第八職等,本俸,3,475
8,薦任第八職等,本俸,4,490
8,薦任第八職等,本俸,5,505
8,薦任第八職等,年功俸,1,520
8,薦任第八職等,年功俸,2,535
8,薦任第八職等,年功俸,3,550
8,薦任第八職等,年功俸,4,590
8,薦任第八職等,年功俸,5,610
8,薦任第八職等,年功俸,6,630
9,薦任第九職等,本俸,1,490
9,薦任第九職等,本俸,2,505
9,薦任第九職等,本俸,3,520
9,薦任第九職等,本俸,4,535
9,薦任第九職等,本俸,5,550
9,薦任第九職等,年功俸,1,590
9,薦任第九職等,年功俸,2,610
9,薦任第九職等,年功俸,3,630
9,薦任第九職等,年功俸,4,650
9,薦任第九職等,年功俸,5,670
9,薦任第九職等,年功俸,6,690
9,薦任第九職等,年功俸,7,710
10,簡任第十職等,本俸,1,590
10,簡任第十職等,本俸,2,610
10,簡任第十職等,本俸,3,630
10,簡任第十職等,本俸,4,650
10,簡任第十職等,本俸,5,670
10,簡任第十職等,年功俸,1,690
10,簡任第十職等,年功俸,2,710
10,簡任第十職等,年功俸,3,730
10,簡任第十職等,年功俸,4,750
10,簡任第十職等,年功俸,5,780
11,簡任第十一職等,本俸,1,610
11,簡任第十一職等,本俸,2,630
11,簡任第十一職等,本俸,3,650
11,簡任第十一職等,本俸,4,670
11,簡任第十一職等,本俸,5,690
11,簡任第十一職等,年功俸,1,710
11,簡任第十一職等,年功俸,2,730
11,簡任第十一職等,年功俸,3,750
11,簡任第十一職等,年功俸,4,780
11,簡任第十一職等,年功俸,5,790
12,簡任第十二職等,本俸,1,650
12,簡任第十二職等,本俸,2,670
12,簡任第十二職等,本俸,3,690
12,簡任第十二職等,本俸,4,710
12,簡任第十二職等,本俸,5,730
12,簡任第十二職等,年功俸,1,750
12,簡任第十二職等,年功俸,2,780
12,簡任第十二職等,年功俸,3,790
12,簡任第十二職等,年功俸,4,800
13,簡任第十三職等,本俸,1,710
13,簡任第十三職等,本俸,2,730
13,簡任第十三職等,本俸,3,750
13,簡任第十三職等,年功俸,1,780
13,簡任第十三職等,年功俸,2,790
13,簡任第十三職等,年功俸,3,800
